 threshold | precision |  recall |     f1 |    FP |    FN
----------------------------------------------------------
         0 |     0.023 |   1.000 |  0.045 |  3360 |     0
         5 |     0.645 |   1.000 |  0.784 |    44 |     0
        10 |     0.645 |   1.000 |  0.784 |    44 |     0
        15 |     0.777 |   1.000 |  0.874 |    23 |     0
        20 |     0.849 |   0.988 |  0.913 |    14 |     1
        25 |     0.940 |   0.988 |  0.963 |     5 |     1
        30 |     0.963 |   0.963 |  0.963 |     3 |     3
        35 |     0.987 |   0.938 |  0.962 |     1 |     5 <- production
        40 |     0.987 |   0.938 |  0.962 |     1 |     5
        45 |     0.987 |   0.925 |  0.955 |     1 |     6
        50 |     1.000 |   0.900 |  0.947 |     0 |     8
        55 |     1.000 |   0.850 |  0.919 |     0 |    12
        60 |     1.000 |   0.762 |  0.865 |     0 |    19
        65 |     1.000 |   0.650 |  0.788 |     0 |    28
        70 |     1.000 |   0.650 |  0.788 |     0 |    28
        75 |     1.000 |   0.537 |  0.699 |     0 |    37
        80 |     1.000 |   0.412 |  0.584 |     0 |    47
        85 |     1.000 |   0.225 |  0.367 |     0 |    62
        90 |     1.000 |   0.087 |  0.161 |     0 |    73
        95 |     1.000 |   0.037 |  0.072 |     0 |    77
       100 |     1.000 |   0.037 |  0.072 |     0 |    77
