threshold,tp,fp,fn,tn,precision,recall,f1
0,182,16380,0,0,0.011,1.0,0.022
5,182,203,0,16177,0.473,1.0,0.642
10,182,203,0,16177,0.473,1.0,0.642
15,182,114,0,16266,0.615,1.0,0.762
20,180,51,2,16329,0.779,0.989,0.872
25,176,20,6,16360,0.898,0.967,0.931
30,173,10,9,16370,0.945,0.951,0.948
35,169,6,13,16374,0.966,0.929,0.947
40,169,6,13,16374,0.966,0.929,0.947
45,162,5,20,16375,0.97,0.89,0.928
50,151,4,31,16376,0.974,0.83,0.896
55,136,4,46,16376,0.971,0.747,0.845
60,118,4,64,16376,0.967,0.648,0.776
65,102,4,80,16376,0.962,0.56,0.708
70,102,4,80,16376,0.962,0.56,0.708
75,83,4,99,16376,0.954,0.456,0.617
80,55,4,127,16376,0.932,0.302,0.456
85,36,4,146,16376,0.9,0.198,0.324
90,16,2,166,16378,0.889,0.088,0.16
95,5,2,177,16378,0.714,0.027,0.053
100,5,2,177,16378,0.714,0.027,0.053
